TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2021,CD,401,6,Long Island City and Astoria (CD1),68.6,60
2021,CD,402,6,Woodside and Sunnyside (CD2),57.7,47
2021,CD,403,6,Jackson Heights (CD3),114.2,130
2021,CD,404,6,Elmhurst and Corona (CD4),85.7,101
2021,CD,405,6,Ridgewood and Maspeth (CD5),61.1,60
2021,CD,406,6,Rego Park and Forest Hills (CD6),60.3,37
2021,CD,407,6,Flushing and Whitestone (CD7),47.3,60
2021,CD,408,6,Hillcrest and Fresh Meadows (CD8),103.2,97
2021,CD,409,6,Kew Gardens and Woodhaven (CD9),106.4,95
2021,CD,410,6,South Ozone Park and Howard Beach (CD10),138,93
2021,CD,411,6,Bayside and Little Neck (CD11),32.7,18
2021,CD,412,6,Jamaica and Hollis (CD12),177,233
2021,CD,413,6,Queens Village (CD13),147.4,142
2021,CD,414,6,Rockaway and Broad Channel (CD14),148.7,120
2021,CD,501,6,St. George and Stapleton (CD1),75,86
2021,CD,502,6,South Beach and Willowbrook (CD2),51.1,36
2021,CD,503,6,Tottenville and Great Kills (CD3),26.1,21
2021,UHF42,101,4,Kingsbridge - Riverdale,112.2,62
2021,UHF42,102,4,Northeast Bronx,224.4,252
2021,UHF42,103,4,Fordham - Bronx Pk,250.6,470
2021,UHF42,104,4,Pelham - Throgs Neck,198.9,360
2021,UHF42,105,4,Crotona - Tremont,301.2,484
2021,UHF42,106,4,High Bridge - Morrisania,299.2,467
2021,UHF42,107,4,Hunts Point - Mott Haven,291.7,302
2021,UHF42,201,4,Greenpoint,43.6,47
2021,UHF42,202,4,Downtown - Heights - Slope,53.1,98
2021,UHF42,203,4,Bedford Stuyvesant - Crown Heights,165.3,357
2021,UHF42,204,4,East New York,167.9,226
2021,UHF42,205,4,Sunset Park,30.6,26
2021,UHF42,206,4,Borough Park,14.1,42
2021,UHF42,207,4,East Flatbush - Flatbush,134.6,234
2021,UHF42,208,4,Canarsie - Flatlands,133.3,147
2021,UHF42,209,4,Bensonhurst - Bay Ridge,23.4,28
2021,UHF42,210,4,Coney Island - Sheepshead Bay,51.1,82
2021,UHF42,211,4,Williamsburg - Bushwick,115.8,178
2021,UHF42,301,4,Washington Heights,177.1,225
2021,UHF42,302,4,Central Harlem - Morningside Heights,233.7,224
2021,UHF42,303,4,East Harlem,240.2,142
2021,UHF42,304,4,Upper West Side,38.5,39
2021,UHF42,305,4,Upper East Side,33.9,31
2021,UHF42,306,4,Chelsea - Clinton,53.5,24
2021,UHF42,307,4,Gramercy Park - Murray Hill,24.5,10
2021,UHF42,308,4,Greenwich Village - SoHo,24.9,7
2021,UHF42,309,4,Union Square - Lower East Side,124.9,73
2021,UHF42,310,4,Lower Manhattan,30,10
2021,UHF42,401,4,Long Island City - Astoria,73.8,71
2021,UHF42,402,4,West Queens,99.6,278
2021,UHF42,403,4,Flushing - Clearview,51.1,62
2021,UHF42,404,4,Bayside - Little Neck,28.8,12
2021,UHF42,405,4,Ridgewood - Forest Hills,57.5,86
2021,UHF42,406,4,Fresh Meadows,77.7,48
2021,UHF42,407,4,Southwest Queens,114,188
2021,UHF42,408,4,Jamaica,155.7,287
2021,UHF42,409,4,Southeast Queens,132.4,141
2021,UHF42,410,4,Rockaways,124.4,120
2021,UHF42,501,4,Port Richmond,84.7,40
2021,UHF42,502,4,Stapleton - St. George,87.1,60
2021,UHF42,503,4,Willowbrook,32.8,16
2021,UHF42,504,4,South Beach - Tottenville,27.6,28
2021,Borough,1,1,Bronx,255.1,2424
2021,Borough,2,1,Brooklyn,84.7,1477
2021,Borough,3,1,Manhattan,115.8,795
2021,Borough,4,1,Queens,102.6,1335
2021,Borough,5,1,Staten Island,54,144
2021,Citywide,1,0,New York City,124.8,6175
2020,CD,101,6,Financial District (CD1),16.6,7
2020,CD,102,6,Greenwich Village and Soho (CD2),3.2,1
2020,CD,103,6,Lower East Side and Chinatown (CD3),73,47
2020,CD,104,6,Clinton and Chelsea (CD4),23.6,11
2020,CD,105,6,Midtown (CD5),32.5,7
2020,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),33.9,16
2020,CD,107,6,Upper West Side (CD7),21.1,24
2020,CD,108,6,Upper East Side (CD8),10.6,12
2020,CD,109,6,Morningside Heights and Hamilton Heights (CD9),72.7,37
2020,CD,110,6,Central Harlem (CD10),157.1,107
2020,CD,111,6,East Harlem (CD11),143.3,99
2020,CD,112,6,Washington Heights and Inwood (CD12),81.8,82
2020,CD,201,6,Mott Haven and Melrose (CD1),206.4,152
2020,CD,202,6,Hunts Point and Longwood (CD2),182.7,79
2020,CD,203,6,Morrisania and Crotona (CD3),163.4,117
2020,CD,204,6,Highbridge and Concourse (CD4),165.4,196
2020,CD,205,6,Fordham and University Heights (CD5),115.4,122
2020,CD,206,6,Belmont and East Tremont (CD6),166.3,113
2020,CD,207,6,Kingsbridge Heights and Bedford (CD7),108.9,121
2020,CD,208,6,Riverdale and Fieldston (CD8),56.8,38
2020,CD,209,6,Parkchester and Soundview (CD9),90.3,110
2020,CD,210,6,Throgs Neck and Co-op City (CD10),86.7,57
2020,CD,211,6,Morris Park and Bronxdale (CD11),80.2,60
2020,CD,212,6,Williamsbridge and Baychester (CD12),125.1,122
2020,CD,301,6,Greenpoint and Williamsburg (CD1),23.6,40
2020,CD,302,6,Fort Greene and Brooklyn Heights (CD2),35.6,30
2020,CD,303,6,Bedford Stuyvesant (CD3),109.9,118
2020,CD,304,6,Bushwick (CD4),56.3,42
2020,CD,305,6,East New York and Starrett City (CD5),119.9,150
2020,CD,306,6,Park Slope and Carroll Gardens (CD6),19.4,16
2020,CD,307,6,Sunset Park (CD7),20.9,21
2020,CD,308,6,Crown Heights and Prospect Heights (CD8),83.6,51
2020,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),57.9,38
2020,CD,310,6,Bay Ridge and Dyker Heights (CD10),15.3,14
2020,CD,311,6,Bensonhurst (CD11),16.1,21
2020,CD,312,6,Borough Park (CD12),8.9,22
2020,CD,313,6,Coney Island (CD13),31.6,18
2020,CD,314,6,Flatbush and Midwood (CD14),36.4,45
2020,CD,315,6,Sheepshead Bay (CD15),17.3,20
2020,CD,316,6,Brownsville (CD16),178.8,108
2020,CD,317,6,East Flatbush (CD17),78.8,68
2020,CD,318,6,Flatlands and Canarsie (CD18),52,61
2020,CD,401,6,Long Island City and Astoria (CD1),44.9,43
2020,CD,402,6,Woodside and Sunnyside (CD2),26.8,24
2020,CD,403,6,Jackson Heights (CD3),56.2,69
2020,CD,404,6,Elmhurst and Corona (CD4),39.2,50
2020,CD,405,6,Ridgewood and Maspeth (CD5),27.1,29
2020,CD,406,6,Rego Park and Forest Hills (CD6),20.6,14
2020,CD,407,6,Flushing and Whitestone (CD7),27.9,39
2020,CD,408,6,Hillcrest and Fresh Meadows (CD8),39.6,41
2020,CD,409,6,Kew Gardens and Woodhaven (CD9),45.4,44
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),46.4,34
2020,CD,411,6,Bayside and Little Neck (CD11),9.8,6
2020,CD,412,6,Jamaica and Hollis (CD12),87.5,123
2020,CD,413,6,Queens Village (CD13),42.5,44
2020,CD,414,6,Rockaway and Broad Channel (CD14),57.4,50
2020,CD,501,6,St. George and Stapleton (CD1),53.2,63
2020,CD,502,6,South Beach and Willowbrook (CD2),20.4,15
2020,CD,503,6,Tottenville and Great Kills (CD3),17.7,15
2020,UHF42,101,4,Kingsbridge - Riverdale,48.9,29
2020,UHF42,102,4,Northeast Bronx,119.4,142
2020,UHF42,103,4,Fordham - Bronx Pk,103.1,208
2020,UHF42,104,4,Pelham - Throgs Neck,83.9,165
2020,UHF42,105,4,Crotona - Tremont,139.3,235
2020,UHF42,106,4,High Bridge - Morrisania,178.1,296
2020,UHF42,107,4,Hunts Point - Mott Haven,195.1,212
2020,UHF42,201,4,Greenpoint,19.4,23
2020,UHF42,202,4,Downtown - Heights - Slope,23.6,48
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,94.9,220
2020,UHF42,204,4,East New York,108.6,155
2020,UHF42,205,4,Sunset Park,27.7,26
2020,UHF42,206,4,Borough Park,12.5,41
2020,UHF42,207,4,East Flatbush - Flatbush,64.7,122
2020,UHF42,208,4,Canarsie - Flatlands,50.4,60
2020,UHF42,209,4,Bensonhurst - Bay Ridge,14.3,19
2020,UHF42,210,4,Coney Island - Sheepshead Bay,22.5,40
2020,UHF42,211,4,Williamsburg - Bushwick,78.4,129
2020,UHF42,301,4,Washington Heights,75.3,104
2020,UHF42,302,4,Central Harlem - Morningside Heights,130.9,134
2020,UHF42,303,4,East Harlem,136.7,86
2020,UHF42,304,4,Upper West Side,21.6,25
2020,UHF42,305,4,Upper East Side,10.9,12
2020,UHF42,306,4,Chelsea - Clinton,27,14
2020,UHF42,307,4,Gramercy Park - Murray Hill,38.1,18
2020,UHF42,308,4,Greenwich Village - SoHo,8.8,3
2020,UHF42,309,4,Union Square - Lower East Side,69.4,46
2020,UHF42,310,4,Lower Manhattan,20.7,8
