TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2011,UHF42,407,4,Southwest Queens,68,69,1506
2011,UHF42,408,4,Jamaica,99.4,100.1,2387
2011,UHF42,409,4,Southeast Queens,69,66.8,1101
2011,UHF42,410,4,Rockaways,124.4,123,1095
2011,UHF42,501,4,Port Richmond,156.1,158.7,756
2011,UHF42,502,4,Stapleton - St. George,115.2,115.1,1083
2011,UHF42,503,4,Willowbrook,41.5,41.1,281
2011,UHF42,504,4,South Beach - Tottenville,39.6,39.2,599
2011,Borough,1,1,Bronx,191.7,193.2,19940
2011,Borough,2,1,Brooklyn,121.1,121,23527
2011,Borough,3,1,Manhattan,105.1,101.7,13959
2011,Borough,4,1,Queens,61.8,62,11124
2011,Borough,5,1,Staten Island,78,77.1,2801
2011,Citywide,1,0,New York City,109.5,109.6,71351
2010,UHF42,101,4,Kingsbridge - Riverdale,74.4,73.6,542
2010,UHF42,102,4,Northeast Bronx,92.9,92.4,1359
2010,UHF42,103,4,Fordham - Bronx Pk,170.2,170,3131
2010,UHF42,104,4,Pelham - Throgs Neck,142,143.4,3244
2010,UHF42,105,4,Crotona - Tremont,308,309.6,4459
2010,UHF42,106,4,High Bridge - Morrisania,271,274.3,4059
2010,UHF42,107,4,Hunts Point - Mott Haven,307.1,311,2973
2010,UHF42,201,4,Greenpoint,68.2,57.9,600
2010,UHF42,202,4,Downtown - Heights - Slope,93.9,87,1593
2010,UHF42,203,4,Bedford Stuyvesant - Crown Heights,221.9,224.3,5426
2010,UHF42,204,4,East New York,202,208.2,2796
2010,UHF42,205,4,Sunset Park,85.4,80.9,799
2010,UHF42,206,4,Borough Park,28.9,28.6,693
2010,UHF42,207,4,East Flatbush - Flatbush,129.8,130,2980
2010,UHF42,208,4,Canarsie - Flatlands,97.1,95.3,1446
2010,UHF42,209,4,Bensonhurst - Bay Ridge,27.5,27.2,470
2010,UHF42,210,4,Coney Island - Sheepshead Bay,51.4,50.2,1201
2010,UHF42,211,4,Williamsburg - Bushwick,245.8,238.3,3703
2010,UHF42,301,4,Washington Heights,94,94.1,1893
2010,UHF42,302,4,Central Harlem - Morningside Heights,284.5,284.3,3698
2010,UHF42,303,4,East Harlem,299,299.5,2579
2010,UHF42,304,4,Upper West Side,59.3,58.9,1104
2010,UHF42,305,4,Upper East Side,21.9,21.1,397
2010,UHF42,306,4,Chelsea - Clinton,53.7,49.9,681
2010,UHF42,307,4,Gramercy Park - Murray Hill,49.4,42.1,520
2010,UHF42,308,4,Greenwich Village - SoHo,16.7,15.8,117
2010,UHF42,309,4,Union Square - Lower East Side,80,76.8,1332
2010,UHF42,310,4,Lower Manhattan,67.6,57.9,269
2010,UHF42,401,4,Long Island City - Astoria,60.1,56.3,1018
2010,UHF42,402,4,West Queens,36.4,35.8,1387
2010,UHF42,403,4,Flushing - Clearview,23.9,24.5,529
2010,UHF42,404,4,Bayside - Little Neck,18.3,18,129
2010,UHF42,405,4,Ridgewood - Forest Hills,39.9,39.6,789
2010,UHF42,406,4,Fresh Meadows,43.7,42.9,327
2010,UHF42,407,4,Southwest Queens,69.6,71,1453
2010,UHF42,408,4,Jamaica,106.5,107.3,2373
2010,UHF42,409,4,Southeast Queens,73.5,71.6,1093
2010,UHF42,410,4,Rockaways,117.1,115,967
2010,UHF42,501,4,Port Richmond,142.7,146.3,738
2010,UHF42,502,4,Stapleton - St. George,113.1,112.2,1069
2010,UHF42,503,4,Willowbrook,49.2,46.9,315
2010,UHF42,504,4,South Beach - Tottenville,38.6,37.7,556
2010,Borough,1,1,Bronx,199,200.7,20451
2010,Borough,2,1,Brooklyn,115.7,115.7,22587
2010,Borough,3,1,Manhattan,100,97,13121
2010,Borough,4,1,Queens,59.2,59.4,10622
2010,Borough,5,1,Staten Island,78.1,76.5,2755
2010,Citywide,1,0,New York City,107.2,107.4,69536
2009,UHF42,101,4,Kingsbridge - Riverdale,79.4,78.4,573
2009,UHF42,102,4,Northeast Bronx,121.5,120.4,1759
2009,UHF42,103,4,Fordham - Bronx Pk,191.8,191.5,3498
2009,UHF42,104,4,Pelham - Throgs Neck,154.2,155.8,3494
2009,UHF42,105,4,Crotona - Tremont,297.2,300.9,4285
2009,UHF42,106,4,High Bridge - Morrisania,267.4,271.9,3919
2009,UHF42,107,4,Hunts Point - Mott Haven,340.8,343.6,3220
2009,UHF42,201,4,Greenpoint,62.2,55.4,545
2009,UHF42,202,4,Downtown - Heights - Slope,87.5,81.4,1476
2009,UHF42,203,4,Bedford Stuyvesant - Crown Heights,202.2,204.2,4877
2009,UHF42,204,4,East New York,190.3,195.9,2581
2009,UHF42,205,4,Sunset Park,81.2,76.3,743
2009,UHF42,206,4,Borough Park,28.6,28.3,684
2009,UHF42,207,4,East Flatbush - Flatbush,117.8,118.9,2715
2009,UHF42,208,4,Canarsie - Flatlands,86.4,85.8,1290
2009,UHF42,209,4,Bensonhurst - Bay Ridge,26.9,26.4,451
2009,UHF42,210,4,Coney Island - Sheepshead Bay,48.3,47.2,1121
2009,UHF42,211,4,Williamsburg - Bushwick,220.1,216.1,3290
2009,UHF42,301,4,Washington Heights,100,100,2006
2009,UHF42,302,4,Central Harlem - Morningside Heights,310.4,311.2,3981
2009,UHF42,303,4,East Harlem,376.3,375.4,3188
2009,UHF42,304,4,Upper West Side,61.2,59.8,1126
2009,UHF42,305,4,Upper East Side,22.4,20.7,393
2009,UHF42,306,4,Chelsea - Clinton,59.8,56.2,741
2009,UHF42,307,4,Gramercy Park - Murray Hill,45.5,40.6,502
2009,UHF42,308,4,Greenwich Village - SoHo,21.1,19.6,147
2009,UHF42,309,4,Union Square - Lower East Side,91.7,87.6,1524
2009,UHF42,310,4,Lower Manhattan,54.5,48.3,216
2009,UHF42,401,4,Long Island City - Astoria,58.7,55.2,992
2009,UHF42,402,4,West Queens,40.5,39.8,1521
2009,UHF42,403,4,Flushing - Clearview,23.4,24.2,516
2009,UHF42,404,4,Bayside - Little Neck,23.2,23.3,166
2009,UHF42,405,4,Ridgewood - Forest Hills,38.3,37.9,751
2009,UHF42,406,4,Fresh Meadows,49.2,48.1,363
2009,UHF42,407,4,Southwest Queens,70.1,71.7,1454
2009,UHF42,408,4,Jamaica,102,102.9,2247
2009,UHF42,409,4,Southeast Queens,70.5,68.8,1042
2009,UHF42,410,4,Rockaways,110.4,108,893
2009,UHF42,501,4,Port Richmond,160.9,165.2,824
2009,UHF42,502,4,Stapleton - St. George,116.1,115.3,1090
2009,UHF42,503,4,Willowbrook,47.9,46.7,313
2009,UHF42,504,4,South Beach - Tottenville,36.3,36.6,536
2009,Borough,1,1,Bronx,211.8,214.2,21556
2009,Borough,2,1,Brooklyn,105.8,106.1,20450
2009,Borough,3,1,Manhattan,111,107.6,14493
2009,Borough,4,1,Queens,59.6,59.9,10602
2009,Borough,5,1,Staten Island,80.4,79.5,2843
2009,Citywide,1,0,New York City,108.7,109.1,69944
2008,UHF42,101,4,Kingsbridge - Riverdale,80.3,79.3,576
2008,UHF42,102,4,Northeast Bronx,140.7,137.5,1989
2008,UHF42,103,4,Fordham - Bronx Pk,189.3,190.4,3439
2008,UHF42,104,4,Pelham - Throgs Neck,155.1,156.8,3481
2008,UHF42,105,4,Crotona - Tremont,313.7,315.6,4430
2008,UHF42,106,4,High Bridge - Morrisania,287.5,291.4,4119
2008,UHF42,107,4,Hunts Point - Mott Haven,349.1,353.1,3238
2008,UHF42,201,4,Greenpoint,64.9,56.4,543
